id,name,host_id,host_name,host_is_superhost,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price_per_night_bucket,is_superhost,days_since_last_review,availability_status
1000001,Entire home/apt in Greenpoint,500001,Host1,f,Brooklyn,Greenpoint,40.682662,-73.94164,Entire home/apt,226.73,1,15,2026-07-26,0.75,1,300,$150-250,False,40.0,Highly Available
1000002,Entire home/apt in East Village,500002,Host2,f,Manhattan,East Village,40.763411,-73.959046,Entire home/apt,296.71,1,23,2026-05-20,1.94,1,0,$250-400,False,107.0,Rarely Available
1000003,Entire home/apt in Williamsburg,500003,Host3,t,Brooklyn,Williamsburg,40.657569,-73.947235,Entire home/apt,91.4,14,84,2026-03-16,2.1,1,191,$75-150,True,172.0,Highly Available
1000004,Entire home/apt in DUMBO,500004,Host4,f,Brooklyn,DUMBO,40.691968,-73.947433,Entire home/apt,88.9,2,5,2026-05-22,0.17,1,105,$75-150,False,105.0,Sometimes Available
1000005,Entire home/apt in Jamaica,500005,Host5,t,Queens,Jamaica,40.714462,-73.781766,Entire home/apt,73.43,7,11,2026-01-19,0.62,1,0,$0-75,True,228.0,Rarely Available
1000006,Entire home/apt in Chelsea,500006,Host6,f,Manhattan,Chelsea,40.805379,-73.993478,Entire home/apt,411.33,14,26,2026-07-20,0.59,3,224,$400+,False,46.0,Highly Available
1000007,Private room in Jamaica,500007,Host7,f,Queens,Jamaica,40.720027,-73.795217,Private room,67.96,5,35,2026-05-05,1.18,2,260,$0-75,False,122.0,Highly Available
1000008,Private room in Hell's Kitchen,500008,Host8,f,Manhattan,Hell's Kitchen,40.7901,-73.963782,Private room,437.92,1,23,2026-04-14,0.8,1,37,$400+,False,143.0,Sometimes Available
1000009,Private room in Crown Heights,500009,Host9,f,Brooklyn,Crown Heights,40.670158,-73.97327,Private room,109.76,7,19,2026-07-19,0.48,3,184,$75-150,False,47.0,Highly Available
1000010,Entire home/apt in Astoria,500010,Host10,t,Queens,Astoria,40.714745,-73.796929,Entire home/apt,139.97,3,7,2026-04-25,0.43,1,12,$75-150,True,132.0,Rarely Available
1000011,Entire home/apt in East Village,500011,Host11,f,Manhattan,East Village,40.764506,-73.97943,Entire home/apt,77.44,1,23,2025-10-19,0.85,1,147,$75-150,False,320.0,Sometimes Available
1000012,Entire home/apt in Crown Heights,500012,Host12,f,Brooklyn,Crown Heights,40.668131,-73.925537,Entire home/apt,308.06,5,11,2026-07-21,0.34,1,232,$250-400,False,45.0,Highly Available
1000013,Private room in Financial District,500013,Host13,f,Manhattan,Financial District,40.78564,-73.952471,Private room,74.77,7,10,2026-05-06,1.0,5,74,$0-75,False,121.0,Sometimes Available
1000014,Private room in Long Island City,500014,Host14,t,Queens,Long Island City,40.733198,-73.778364,Private room,58.23,7,20,2025-11-01,0.71,1,211,$0-75,True,307.0,Highly Available
1000015,Private room in Park Slope,500015,Host15,f,Brooklyn,Park Slope,40.689338,-73.94729,Private room,101.82,7,47,2026-04-19,1.04,2,161,$75-150,False,138.0,Sometimes Available
1000016,Entire home/apt in Tottenville,500016,Host16,f,Staten Island,Tottenville,40.58749,-74.132189,Entire home/apt,263.22,1,31,2026-03-29,1.94,1,202,$250-400,False,159.0,Highly Available
1000017,Entire home/apt in Bedford-Stuyvesant,500017,Host17,f,Brooklyn,Bedford-Stuyvesant,40.695002,-73.936113,Entire home/apt,81.75,30,16,2026-03-30,0.36,1,229,$75-150,False,158.0,Highly Available
1000018,Private room in Chelsea,500018,Host18,f,Manhattan,Chelsea,40.75701,-73.982938,Private room,140.31,7,34,2026-04-22,0.74,1,170,$75-150,False,135.0,Sometimes Available
1000019,Entire home/apt in Chelsea,500019,Host19,t,Manhattan,Chelsea,40.783156,-73.959784,Entire home/apt,371.9,3,2,2026-05-06,0.06,10,160,$250-400,True,121.0,Sometimes Available
1000020,Private room in Flushing,500020,Host20,f,Queens,Flushing,40.724694,-73.807744,Private room,22.82,1,23,2026-07-07,2.44,1,201,$0-75,False,59.0,Highly Available
1000021,Entire home/apt in Chelsea,500021,Host21,f,Manhattan,Chelsea,40.758138,-73.977696,Entire home/apt,169.95,1,15,2026-07-29,0.52,1,123,$150-250,False,37.0,Sometimes Available
1000022,Entire home/apt in Greenpoint,500022,Host22,t,Brooklyn,Greenpoint,40.651842,-73.983812,Entire home/apt,174.34,1,13,2025-06-09,0.37,1,207,$150-250,True,452.0,Highly Available
1000023,Entire home/apt in Long Island City,500023,Host23,f,Queens,Long Island City,40.770443,-73.773351,Entire home/apt,85.03,1,7,2026-06-23,0.24,1,332,$75-150,False,73.0,Highly Available
1000024,Private room in Bedford-Stuyvesant,500024,Host24,f,Brooklyn,Bedford-Stuyvesant,40.668375,-73.985876,Private room,65.96,1,97,2026-01-16,7.26,1,121,$0-75,False,231.0,Sometimes Available
1000025,Private room in Bushwick,500025,Host25,t,Brooklyn,Bushwick,40.673951,-73.942782,Private room,75.78,3,17,2026-07-24,0.41,1,164,$75-150,True,42.0,Sometimes Available
1000026,Private room in Park Slope,500026,Host26,f,Brooklyn,Park Slope,40.660338,-73.957988,Private room,139.03,7,42,2026-07-05,1.3,2,348,$75-150,False,61.0,Highly Available
